RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 530 7.86222698E-10   6.78755470E-08   1.50353117E-08   9.49409884E-09   1.93278304E-09   3.31762978E-10   2.51407997E-08   7.06176853E+00   8.12514544E-01   2.97992855E-01   1.50913835E-01   9.20105648E+00   6.79381788E-01   -3.20066959E-01   1.15937017E-01   1.46102726E+00   8.88871250E+05   5.91556025E+00   1.68207729E+00   1.62024212E+06   7.39230061E+00 
0 540 7.73259623E-10   6.56027836E-08   1.45529446E-08   9.18826704E-09   1.87926830E-09   3.34422268E-10   2.46882355E-08   7.04334211E+00   8.07155669E-01   3.02816868E-01   1.51397884E-01   9.20046520E+00   6.79471552E-01   -3.19679946E-01   1.15948655E-01   1.45785403E+00   8.84171750E+05   5.90410614E+00   1.68208396E+00   1.62001388E+06   7.39180231E+00 
0 550 7.63873076E-10   6.33792325E-08   1.41117473E-08   8.89329588E-09   1.82830340E-09   3.37082667E-10   2.42163498E-08   7.02711105E+00   8.01908791E-01   3.07614326E-01   1.51845619E-01   9.19993591E+00   6.79526567E-01   -3.19239318E-01   1.15959577E-01   1.45491278E+00   8.79814062E+05   5.89348459E+00   1.68208992E+00   1.61980975E+06   7.39135599E+00 
0 560 7.55434826E-10   6.12104074E-08   1.37015341E-08   8.61126548E-09   1.77026460E-09   3.39726469E-10   2.37571101E-08   7.01288223E+00   7.96770930E-01   3.12225312E-01   1.52260900E-01   9.19948196E+00   6.79550827E-01   -3.18729192E-01   1.15969650E-01   1.45218825E+00   8.75775812E+05   5.88364172E+00   1.68209505E+00   1.61963575E+06   7.39097595E+00 
0 570 7.46565754E-10   5.91062665E-08   1.33100055E-08   8.33770830E-09   1.70328240E-09   3.42355477E-10   2.33327722E-08   7.00040531E+00   7.91754305E-01   3.16553712E-01   1.52648687E-01   9.19912529E+00   6.79547668E-01   -3.18148822E-01   1.15978666E-01   1.44965911E+00   8.72026000E+05   5.87450218E+00   1.68209887E+00   1.61950162E+06   7.39068317E+00 
0 580 7.37424899E-10   5.70736596E-08   1.29278233E-08   8.06399125E-09   1.63384128E-09   3.44964557E-10   2.29657431E-08   6.98946238E+00   7.86863983E-01   3.20556790E-01   1.53013468E-01   9.19888592E+00   6.79518104E-01   -3.17517310E-01   1.15986399E-01   1.44730747E+00   8.68538125E+05   5.86600113E+00   1.68210137E+00   1.61941825E+06   7.39050102E+00 
0 590 7.28916816E-10   5.51146684E-08   1.25457289E-08   7.79172460E-09   1.57281643E-09   3.47548934E-10   2.26593748E-08   6.97983456E+00   7.82095194E-01   3.24240118E-01   1.53359801E-01   9.19877815E+00   6.79460764E-01   -3.16873968E-01   1.15992717E-01   1.44511521E+00   8.65285750E+05   5.85807371E+00   1.68210208E+00   1.61939462E+06   7.39044905E+00 
0 600 7.19641513E-10   5.32253459E-08   1.21523751E-08   7.52018980E-09   1.52205915E-09   3.50099977E-10   2.23988099E-08   6.97133017E+00   7.77455747E-01   3.27625394E-01   1.53691664E-01   9.19880199E+00   6.79373682E-01   -3.16270232E-01   1.15997612E-01   1.44306719E+00   8.62246375E+05   5.85066557E+00   1.68210089E+00   1.61943438E+06   7.39053631E+00 
0 610 7.05826897E-10   5.14015142E-08   1.17565255E-08   7.25220239E-09   1.47275470E-09   3.52604362E-10   2.21563692E-08   6.96379852E+00   7.72962391E-01   3.30748737E-01   1.54012144E-01   9.19893646E+00   6.79256141E-01   -3.15754652E-01   1.16001323E-01   1.44115567E+00   8.59408875E+05   5.84374952E+00   1.68209803E+00   1.61953275E+06   7.39075089E+00 
0 620 6.84617307E-10   4.96393788E-08   1.13719336E-08   6.99289826E-09   1.41752265E-09   3.55052238E-10   2.19019736E-08   6.95713091E+00   7.68612444E-01   3.33651632E-01   1.54323310E-01   9.19914055E+00   6.79110885E-01   -3.15359533E-01   1.16004288E-01   1.43938339E+00   8.56777500E+05   5.83733606E+00   1.68209386E+00   1.61967600E+06   7.39106369E+00 
0 630 6.55353827E-10   4.79390430E-08   1.10003455E-08   6.75177381E-09   1.35493483E-09   3.57433166E-10   2.16191296E-08   6.95125151E+00   7.64398098E-01   3.36369008E-01   1.54626533E-01   9.19936466E+00   6.78943157E-01   -3.15091908E-01   1.16007060E-01   1.43775332E+00   8.54356750E+05   5.83143568E+00   1.68208897E+00   1.61984400E+06   7.39143085E+00 
0 640 6.20185292E-10   4.63048906E-08   1.06435891E-08   6.52820331E-09   1.29223721E-09   3.59744845E-10   2.13042810E-08   6.94608688E+00   7.60318339E-01   3.38939995E-01   1.54923096E-01   9.19955921E+00   6.78759873E-01   -3.14932942E-01   1.16010182E-01   1.43626773E+00   8.52150062E+05   5.82605696E+00   1.68208396E+00   1.62001612E+06   7.39180708E+00 
0 650 5.83643855E-10   4.47378916E-08   1.03101643E-08   6.31715524E-09   1.23931321E-09   3.61992880E-10   2.09670503E-08   6.94157028E+00   7.56372511E-01   3.41390610E-01   1.55214071E-01   9.19969273E+00   6.78566575E-01   -3.14845443E-01   1.16014041E-01   1.43492770E+00   8.50159062E+05   5.82120419E+00   1.68207920E+00   1.62017562E+06   7.39215517E+00 
