RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 450 4.83553142E-10   2.69591833E-08   6.90521951E-09   3.69140296E-09   1.20003163E-09   1.53865920E-10   1.26192239E-08   9.05825329E+00   -4.71981734E-01   -2.84606814E-01   1.18932240E-01   9.06884098E+00   -4.92457449E-01   -2.58036762E-01   1.18831351E-01   1.68271828E+00   1.59498988E+06   7.33713627E+00   1.68340755E+00   1.54403088E+06   7.22581387E+00 
0 460 4.66597205E-10   2.61887489E-08   6.78074530E-09   3.61746100E-09   1.14577248E-09   1.50348373E-10   1.22388970E-08   9.05690384E+00   -4.72203046E-01   -2.84333676E-01   1.18952356E-01   9.06801033E+00   -4.92232054E-01   -2.57261485E-01   1.18833669E-01   1.68271303E+00   1.59523062E+06   7.33766222E+00   1.68340373E+00   1.54469900E+06   7.22727346E+00 
0 470 4.54411980E-10   2.54806665E-08   6.66719124E-09   3.52352880E-09   1.13090903E-09   1.46981635E-10   1.20433903E-08   9.05540466E+00   -4.72456485E-01   -2.84360617E-01   1.18973576E-01   9.06744862E+00   -4.92100447E-01   -2.56630093E-01   1.18832648E-01   1.68270850E+00   1.59543925E+06   7.33811808E+00   1.68339944E+00   1.54541725E+06   7.22884274E+00 
0 480 4.44252329E-10   2.48350425E-08   6.54846044E-09   3.41442496E-09   1.16469812E-09   1.43742421E-10   1.20317871E-08   9.05370235E+00   -4.72778141E-01   -2.84515619E-01   1.18996605E-01   9.06717110E+00   -4.92078573E-01   -2.56188661E-01   1.18828043E-01   1.68270564E+00   1.59557188E+06   7.33840752E+00   1.68339479E+00   1.54617738E+06   7.23050308E+00 
0 490 4.33623165E-10   2.42476172E-08   6.41723386E-09   3.29771965E-09   1.21319221E-09   1.40672946E-10   1.21534605E-08   9.05176258E+00   -4.73214060E-01   -2.84570217E-01   1.19021997E-01   9.06720829E+00   -4.92168874E-01   -2.55909532E-01   1.18819453E-01   1.68270504E+00   1.59560062E+06   7.33846998E+00   1.68338954E+00   1.54698438E+06   7.23226595E+00 
0 500 4.21822910E-10   2.37083224E-08   6.27623598E-09   3.18993520E-09   1.23315924E-09   1.37760456E-10   1.23288988E-08   9.04959393E+00   -4.73782003E-01   -2.84375399E-01   1.19049855E-01   9.06756306E+00   -4.92340952E-01   -2.55690008E-01   1.18806832E-01   1.68270695E+00   1.59551350E+06   7.33827972E+00   1.68338382E+00   1.54784462E+06   7.23414516E+00 
0 510 4.10451839E-10   2.32067414E-08   6.13354212E-09   3.10724468E-09   1.20584775E-09   1.34963596E-10   1.24759838E-08   9.04723454E+00   -4.74464417E-01   -2.83852994E-01   1.19079910E-01   9.06820679E+00   -4.92558092E-01   -2.55476743E-01   1.18790649E-01   1.68271124E+00   1.59531612E+06   7.33784914E+00   1.68337762E+00   1.54874525E+06   7.23611259E+00 
0 520 4.03949763E-10   2.27292833E-08   5.99395822E-09   3.03548831E-09   1.15192078E-09   1.32166167E-10   1.25345894E-08   9.04475498E+00   -4.75246876E-01   -2.83090621E-01   1.19111389E-01   9.06905556E+00   -4.92819786E-01   -2.55237937E-01   1.18771985E-01   1.68271720E+00   1.59503525E+06   7.33723497E+00   1.68337107E+00   1.54965762E+06   7.23810577E+00 
0 530 4.04779099E-10   2.22668799E-08   5.85958793E-09   2.95161162E-09   1.10888487E-09   1.29497649E-10   1.24889237E-08   9.04228115E+00   -4.76127326E-01   -2.82267660E-01   1.19142741E-01   9.06999779E+00   -4.93143231E-01   -2.54950643E-01   1.18752249E-01   1.68272400E+00   1.59472238E+06   7.33655167E+00   1.68336439E+00   1.55054738E+06   7.24004984E+00 
0 540 4.08220097E-10   2.18165006E-08   5.73197978E-09   2.86183854E-09   1.08942277E-09   1.26954086E-10   1.23677459E-08   9.03994274E+00   -4.77120042E-01   -2.81534165E-01   1.19172223E-01   9.07092476E+00   -4.93542850E-01   -2.54650354E-01   1.18732832E-01   1.68273020E+00   1.59442738E+06   7.33590746E+00   1.68335795E+00   1.55137812E+06   7.24186420E+00 
0 550 4.07328477E-10   2.13784883E-08   5.61341729E-09   2.78571566E-09   1.07576270E-09   1.24550606E-10   1.22260078E-08   9.03779221E+00   -4.78245735E-01   -2.80976027E-01   1.19199038E-01   9.07179070E+00   -4.94023293E-01   -2.54359901E-01   1.18714355E-01   1.68273532E+00   1.59418750E+06   7.33538342E+00   1.68335199E+00   1.55212688E+06   7.24350023E+00 
0 560 4.00983857E-10   2.09590763E-08   5.50415047E-09   2.72739920E-09   1.04878550E-09   1.22282587E-10   1.21119834E-08   9.03581047E+00   -4.79522914E-01   -2.80601293E-01   1.19223297E-01   9.07263374E+00   -4.94596094E-01   -2.54068673E-01   1.18696339E-01   1.68273902E+00   1.59401300E+06   7.33500195E+00   1.68334651E+00   1.55279175E+06   7.24495268E+00 
0 570 3.94849153E-10   2.05611830E-08   5.40394929E-09   2.67588729E-09   1.00416520E-09   1.20135360E-10   1.20459163E-08   9.03393650E+00   -4.80944008E-01   -2.80331880E-01   1.19245723E-01   9.07348347E+00   -4.95269150E-01   -2.53732800E-01   1.18678465E-01   1.68274188E+00   1.59388038E+06   7.33471203E+00   1.68334150E+00   1.55338900E+06   7.24625731E+00 
0 580 3.96645050E-10   2.01865067E-08   5.30682698E-09   2.62169642E-09   9.52387613E-10   1.18101848E-10   1.20252395E-08   9.03205109E+00   -4.82478321E-01   -2.80117720E-01   1.19267859E-01   9.07434177E+00   -4.96034920E-01   -2.53302783E-01   1.18660770E-01   1.68274486E+00   1.59373562E+06   7.33439636E+00   1.68333673E+00   1.55394012E+06   7.24746132E+00 
0 590 4.09582063E-10   1.98335464E-08   5.20694954E-09   2.55435140E-09   9.08982889E-10   1.16197593E-10   1.20398411E-08   9.03000450E+00   -4.84069914E-01   -2.79955983E-01   1.19291671E-01   9.07524872E+00   -4.96867895E-01   -2.52734482E-01   1.18642785E-01   1.68274963E+00   1.59350925E+06   7.33390188E+00   1.68333220E+00   1.55446175E+06   7.24860048E+00 
0 600 4.29138253E-10   1.95000478E-08   5.10086107E-09   2.47180099E-09   8.77061868E-10   1.14413992E-10   1.20781092E-08   9.02765942E+00   -4.85656083E-01   -2.79869974E-01   1.19318999E-01   9.07620811E+00   -4.97736156E-01   -2.52003998E-01   1.18624575E-01   1.68275738E+00   1.59313838E+06   7.33309174E+00   1.68332767E+00   1.55496700E+06   7.24970436E+00 
0 610 4.47667375E-10   1.91835134E-08   4.98970465E-09   2.38715958E-09   8.44609827E-10   1.12731650E-10   1.21210855E-08   9.02492809E+00   -4.87191081E-01   -2.79857934E-01   1.19351052E-01   9.07721901E+00   -4.98615146E-01   -2.51143336E-01   1.18606225E-01   1.68276894E+00   1.59258462E+06   7.33188152E+00   1.68332314E+00   1.55546425E+06   7.25079060E+00 
0 620 4.60981947E-10   1.88802041E-08   4.87727414E-09   2.31491648E-09   8.01779532E-10   1.11137551E-10   1.21374972E-08   9.02178669E+00   -4.88651961E-01   -2.79874682E-01   1.19388208E-01   9.07828712E+00   -4.99481767E-01   -2.50229210E-01   1.18587673E-01   1.68278432E+00   1.59183675E+06   7.33024788E+00   1.68331861E+00   1.55595738E+06   7.25186777E+00 
0 630 4.70792572E-10   1.85841955E-08   4.76627582E-09   2.25245400E-09   7.58041130E-10   1.09616684E-10   1.20951560E-08   9.01828480E+00   -4.90056455E-01   -2.79842913E-01   1.19429871E-01   9.07940960E+00   -5.00316441E-01   -2.49359488E-01   1.18568905E-01   1.68280315E+00   1.59091312E+06   7.32823038E+00   1.68331397E+00   1.55644838E+06   7.25294065E+00 
