,Fingerprint(G2),Fingerprint(G4),Ref_Wind_Speed
849,0.31061206307529343,0.31413344215628913,5.1493535
850,1.0,1.0,7.35067177
851,0.3087513530989179,0.2625548620979158,5.04404402
852,1.0,1.0,7.36074686
853,0.30815358034736995,0.2085479748274821,4.95401144
854,1.0,1.0,7.34705114
855,0.3080624492986389,0.1512080121692715,4.90302849
856,1.0,1.0,7.3288846
857,0.3080613168921932,0.08983222149574344,4.86123371
858,1.0,1.0,7.3347826
859,0.3080613168921932,0.024019970545843594,4.85890722
860,1.0,1.0,7.3277998
861,0.3080613168921932,0.08983222149574344,4.87785816
862,1.0,1.0,7.34435558
863,0.3080624492986389,0.1512080121692715,4.93991089
864,1.0,1.0,7.35892916
865,0.30815358034736995,0.2085479748274821,5.00555325
866,1.0,1.0,7.3489151
867,0.3087513530989179,0.2625548620979158,5.11036873
868,1.0,1.0,7.34092999
869,0.31061206307529343,0.31413344215628913,5.23679447
870,1.0,1.0,7.35419559
871,0.31474053234108135,0.36421318406489067,5.40532064
872,1.0,1.0,7.35912228
873,0.32229479104375447,0.4136217912031519,5.55358648
874,1.0,1.0,7.3536377
875,0.3344888919598976,0.4630017962987333,5.72273874
876,1.0,1.0,7.36508036
877,0.3524948650473636,0.5127618712249591,5.90408993
878,1.0,1.0,7.36825848
879,0.37734482727130736,0.5630556021101947,6.06695271
880,1.0,1.0,7.37133121
881,0.40983426276915047,0.6137814819405394,6.21162605
882,1.0,1.0,7.37004662
883,0.4504274797425163,0.6645987821962356,6.3670702
884,1.0,1.0,7.38387299
885,0.49916623337632404,0.714954786098138,6.52303553
886,1.0,1.0,7.39239407
887,0.5555824787158788,0.7641196030881687,6.65165663
888,1.0,1.0,7.39672184
889,0.6186161839764228,0.8112254418436851,6.78196383
890,1.0,1.0,7.40507507
891,0.6865390934743085,0.8553078022424401,6.91084433
892,1.0,1.0,7.41927767
893,0.7568852805745458,0.8953465601812813,7.03756952
894,1.0,1.0,7.42316437
895,0.8263892751249091,0.9303053679853172,7.14271927
896,1.0,1.0,7.42681599
897,0.8909324872275235,0.9591681822900094,7.22257948
898,1.0,1.0,7.43836498
899,0.9454985803731498,0.9809720656374212,7.2841897
900,1.0,1.0,7.4401412
901,0.9841383724689967,0.9948356923920378,7.35028028
902,1.0,1.0,7.44527864
903,0.9999447637104836,0.9999832285976411,7.39223957
904,1.0,1.0,7.44139576
905,1.0,1.0,7.4383316
906,1.0,1.0,7.43931341
907,1.0,1.0,7.47310305
908,1.0,1.0,7.44768333
909,1.0,1.0,7.50485325
910,1.0,1.0,7.48393726
911,1.0,1.0,7.50941801
912,1.0,1.0,7.4913702
913,1.0,1.0,7.5241313
914,1.0,1.0,7.4674592
915,1.0,1.0,7.56316662
916,1.0,1.0,7.47330475
917,1.0,1.0,7.57174969
918,1.0,1.0,7.47974348
919,1.0,1.0,7.57912397
920,1.0,1.0,7.50172806
921,1.0,1.0,7.5707202
922,1.0,1.0,7.4960103
923,1.0,1.0,7.56806946
924,1.0,1.0,7.49304342
925,1.0,1.0,7.56435013
926,1.0,1.0,7.49259138
927,1.0,1.0,7.54964066
928,1.0,1.0,7.49497366
929,1.0,1.0,7.55146646
930,1.0,1.0,7.48398638
931,1.0,1.0,7.55257273
932,1.0,1.0,7.46859789
933,1.0,1.0,7.53242159
934,1.0,1.0,7.46926641
935,1.0,1.0,7.52182484
936,1.0,1.0,7.47089338
937,1.0,1.0,7.51742935
