,Fingerprint(G2),Fingerprint(G4),Fingerprint(G6),Ref_Wind_Speed
1351,1.0,1.0,1.0,7.47471428
1352,1.0,1.0,1.0,7.48333597
1353,1.0,1.0,1.0,7.45748711
1354,1.0,1.0,1.0,7.45077801
1355,1.0,1.0,1.0,7.47361946
1356,0.9875807561646244,0.9911319872193126,1.0,7.40691471
1357,1.0,1.0,1.0,7.44981337
1358,0.9199883295054303,0.938736194715275,1.0,7.37789249
1359,1.0,1.0,1.0,7.43058348
1360,0.8253269675306123,0.8565845415712734,1.0,7.3050642
1361,1.0,1.0,1.0,7.42827034
1362,0.7294753644476422,0.7618248756602239,1.0,7.21607733
1363,1.0,1.0,1.0,7.41381502
1364,0.6479883928690355,0.667672685162526,1.0,7.10026693
1365,1.0,1.0,1.0,7.4249177
1366,0.5879825696687808,0.5828962271403105,1.0,6.94155121
1367,1.0,1.0,1.0,7.40698433
1368,0.5501086306351145,0.5116224797588769,1.0,6.76835632
1369,1.0,1.0,1.0,7.41053057
1370,0.5305900050759381,0.45358852569493124,1.0,6.5753746
1371,1.0,1.0,1.0,7.40051317
1372,0.5233054399105002,0.4049860490071766,1.0,6.36564302
1373,1.0,1.0,1.0,7.40735626
1374,0.5218936640317209,0.36007227532020347,1.0,6.16490412
1375,1.0,1.0,1.0,7.39963102
1376,0.5218546627423153,0.31374451805773584,1.0,5.96810913
1377,1.0,1.0,1.0,7.39444542
1378,0.5218546627423153,0.2641228778942406,1.0,5.78843737
1379,1.0,1.0,1.0,7.39019299
1380,0.5218546627423153,0.21091320493930332,1.0,5.62696266
1381,1.0,1.0,1.0,7.41341734
1382,0.5218546627423153,0.15385605635161492,1.0,5.52753782
1383,1.0,1.0,1.0,7.41888952
1384,0.5218546627423153,0.0926732295428706,1.0,5.51174641
1385,1.0,1.0,1.0,7.41207314
1386,0.5218546627423153,0.15385605635161492,1.0,5.57048941
1387,1.0,1.0,1.0,7.39077377
1388,0.5218546627423153,0.21091320493930332,1.0,5.70117331
1389,1.0,1.0,1.0,7.39460564
1390,0.5218546627423153,0.2641228778942406,1.0,5.89047432
1391,1.0,1.0,1.0,7.39927435
1392,0.5218546627423153,0.31374451805773584,1.0,6.07848597
1393,1.0,1.0,1.0,7.40703917
1394,0.5218936640317209,0.36007227532020347,1.0,6.27305269
1395,1.0,1.0,1.0,7.40044022
1396,0.5233054399105002,0.4049860490071766,1.0,6.46453142
1397,1.0,1.0,1.0,7.41034746
1398,0.5305900050759381,0.45358852569493124,1.0,6.65898466
1399,1.0,1.0,1.0,7.40664387
1400,0.5501086306351145,0.5116224797588769,1.0,6.856318
1401,1.0,1.0,1.0,7.42511606
