RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 450 1.22121935E-09   5.55849908E-08   2.18903438E-08   6.74404399E-09   2.30022978E-09   3.45428769E-10   3.97987705E-08   1.03763371E+01   -4.05649137E+00   -2.82228321E-01   1.15260489E-01   1.04114666E+01   -4.04957342E+00   -3.30057114E-01   1.15051292E-01   1.68376112E+00   2.18705025E+06   1.00473585E+01   1.68201602E+00   2.19801225E+06   1.01574087E+01 
0 460 1.22432631E-09   5.34008535E-08   2.10369588E-08   6.42040598E-09   2.37505549E-09   3.41120493E-10   3.70293343E-08   1.03744440E+01   -4.05537748E+00   -2.83237338E-01   1.15289547E-01   1.04100914E+01   -4.04969549E+00   -3.29730272E-01   1.15069687E-01   1.68378770E+00   2.18685925E+06   1.00454397E+01   1.68204570E+00   2.19784600E+06   1.01557388E+01 
0 470 1.19847876E-09   5.13324707E-08   2.02438173E-08   6.16876328E-09   2.30026220E-09   3.37013223E-10   3.48157343E-08   1.03727579E+01   -4.05433941E+00   -2.84425527E-01   1.15316056E-01   1.04090471E+01   -4.04993153E+00   -3.29567283E-01   1.15084551E-01   1.68381166E+00   2.18668525E+06   1.00436945E+01   1.68206751E+00   2.19772400E+06   1.01545153E+01 
0 480 1.13913134E-09   4.94112413E-08   1.95032612E-08   5.96615113E-09   2.11141016E-09   3.33109484E-10   3.31792869E-08   1.03711443E+01   -4.05335331E+00   -2.85705298E-01   1.15341268E-01   1.04083300E+01   -4.05024910E+00   -3.29563320E-01   1.15095913E-01   1.68383551E+00   2.18651225E+06   1.00419579E+01   1.68208098E+00   2.19764825E+06   1.01537552E+01 
0 490 1.07049458E-09   4.76311861E-08   1.87985325E-08   5.74639580E-09   1.98801131E-09   3.29382632E-10   3.20041345E-08   1.03695183E+01   -4.05240679E+00   -2.86936074E-01   1.15365945E-01   1.04078684E+01   -4.05059671E+00   -3.29669446E-01   1.15104556E-01   1.68386054E+00   2.18632900E+06   1.00401182E+01   1.68208766E+00   2.19761075E+06   1.01533785E+01 
0 500 1.01507291E-09   4.59641356E-08   1.81143154E-08   5.47896928E-09   2.03634887E-09   3.25798638E-10   3.11458166E-08   1.03678513E+01   -4.05150557E+00   -2.87953734E-01   1.15390368E-01   1.04075441E+01   -4.05091524E+00   -3.29816252E-01   1.15111738E-01   1.68388760E+00   2.18613050E+06   1.00381250E+01   1.68209016E+00   2.19759625E+06   1.01532335E+01 
0 510 9.74046732E-10   4.43734649E-08   1.74459824E-08   5.19790078E-09   2.15412155E-09   3.22327220E-10   3.04566363E-08   1.03661690E+01   -4.05067444E+00   -2.88628787E-01   1.15414351E-01   1.04072332E+01   -4.05115938E+00   -3.29931378E-01   1.15118787E-01   1.68391621E+00   2.18591925E+06   1.00360060E+01   1.68209171E+00   2.19758800E+06   1.01531496E+01 
0 520 9.39232803E-10   4.28240661E-08   1.67967098E-08   4.96494623E-09   2.19706919E-09   3.18937071E-10   2.97867171E-08   1.03645401E+01   -4.04995489E+00   -2.88910061E-01   1.15437247E-01   1.04068489E+01   -4.05131245E+00   -3.29950392E-01   1.15126602E-01   1.68394518E+00   2.18570500E+06   1.00338535E+01   1.68209445E+00   2.19757175E+06   1.01529875E+01 
0 530 9.14718301E-10   4.12900398E-08   1.61700395E-08   4.80952034E-09   2.12386531E-09   3.15604987E-10   2.90333126E-08   1.03630600E+01   -4.04939318E+00   -2.88839668E-01   1.15458161E-01   1.04063635E+01   -4.05139017E+00   -3.29826117E-01   1.15135454E-01   1.68397236E+00   2.18550175E+06   1.00318146E+01   1.68209994E+00   2.19754150E+06   1.01526833E+01 
0 540 9.16796583E-10   3.97642665E-08   1.55706381E-08   4.70366102E-09   1.97960359E-09   3.12336490E-10   2.81912182E-08   1.03618279E+01   -4.04902315E+00   -2.88522512E-01   1.15476154E-01   1.04058113E+01   -4.05143356E+00   -3.29534322E-01   1.15144946E-01   1.68399584E+00   2.18532575E+06   1.00300474E+01   1.68210745E+00   2.19749900E+06   1.01522560E+01 
0 550 9.54957891E-10   3.82639875E-08   1.50040069E-08   4.60903182E-09   1.82758519E-09   3.09155340E-10   2.73468519E-08   1.03609123E+01   -4.04885674E+00   -2.88077861E-01   1.15490600E-01   1.04052763E+01   -4.05148888E+00   -3.29076231E-01   1.15154214E-01   1.68401384E+00   2.18518975E+06   1.00286818E+01   1.68211555E+00   2.19745325E+06   1.01517963E+01 
